pincode,city,district,state
121013,Faridabad,Faridabad,HARYANA
121101,Ballabgarh,Faridabad,HARYANA
121102,Palwal,Faridabad,HARYANA
121103,Hathin,Faridabad,HARYANA
121105,Palwal,Faridabad,HARYANA
121106,Hodal,Faridabad,HARYANA
121107,Hodal,Faridabad,HARYANA
122001,Arjun Nagar,Gurgaon,HARYANA
122002,Dlf Qe,Gurgaon,HARYANA
122003,Sector -45,Gurgaon,HARYANA
122004,Narsinghpur,Gurgaon,HARYANA
122005,Air Force,Gurgaon,HARYANA
122006,Railway Road,Gurgaon,HARYANA
122007,Industrial Estate,Gurgaon,HARYANA
122008,Dlf Ph-ii,Gurgaon,HARYANA
122009,Galleria Dlf-iv,Gurgaon,HARYANA
122010,Dlf Ph-iii,Gurgaon,HARYANA
122011,Gurgaon,Gurgaon,HARYANA
122015,Palam Road,Gurgaon,HARYANA
122016,Industrial Complex Dundahera,Gurgaon,HARYANA
122017,Palam Vihar,Gurgaon,HARYANA
122018,Gurgaon,Gurgaon,HARYANA
122051,Nsg Camp Manesar,Gurgaon,HARYANA
122052,Manesar,Gurgaon,HARYANA
122101,Badshahpur,Gurgaon,HARYANA
122102,Bhondsi,Gurgaon,HARYANA
122103,Sohna,Gurgaon,HARYANA
122104,Ferozepur Jhirka,Gurgaon,HARYANA
122105,Tauru,Gurgaon,HARYANA
122107,Nuh,Gurgaon,HARYANA
122108,Nagina,Gurgaon,HARYANA
122413,Bhorakalan,Gurgaon,HARYANA
122414,Nanukalan,Gurgaon,HARYANA
122502,Khalilpur,Gurgaon,HARYANA
122503,Pataudi,Gurgaon,HARYANA
122504,Haillymandi,Gurgaon,HARYANA
122505,Garhi Harsaru,Gurgaon,HARYANA
122506,Farrukh Nagar,Gurgaon,HARYANA
122508,Punhana,Gurgaon,HARYANA
123001,Azamabad Mukhota,Mahendragarh,HARYANA
123021,Mandi Ateli,Rewari,HARYANA
123023,Akberpur,Mahendragarh,HARYANA
123024,Barda,Mahendragarh,HARYANA
123027,Baghot,Mahendragarh,HARYANA
123028,Bairawas,Mahendragarh,HARYANA
123029,Akoda,Mahendragarh,HARYANA
123034,Bawania,Mahendragarh,HARYANA
123035,Rewari,Rewari,HARYANA
123101,Basbatori,Rewari,HARYANA
123102,Ahrod,Rewari,HARYANA
123103,Rewari,Rewari,HARYANA
123106,Bhatsana,Rewari,HARYANA
123110,Dharuhera,Rewari,HARYANA
123301,Guriani,Rewari,HARYANA
123302,Bhakli,Rewari,HARYANA
123303,Bawwa,Mahendragarh,HARYANA
123401,B B Ashram,Rewari,HARYANA
123411,Rewari,Rewari,HARYANA
123412,Rewari,Rewari,HARYANA
123501,Baghthala,Rewari,HARYANA
124001,Rohtak,Rohtak,HARYANA
124010,Rohtak,Rohtak,HARYANA
124021,Rohtak,Rohtak,HARYANA
124022,Mehem,Rohtak,HARYANA
124102,Jhajjar,Jhajjar,HARYANA
124103,Jhajjar,Jhajjar,HARYANA
124104,Jhajjar,Jhajjar,HARYANA
124105,Jhajjar,Jhajjar,HARYANA
124106,Jhajjar,Jhajjar,HARYANA
124107,Jhajjar,Jhajjar,HARYANA
124108,Jhajjar,Jhajjar,HARYANA
124109,Jhajjar,Jhajjar,HARYANA
124111,Rohtak,Rohtak,HARYANA
124112,Mehem,Rohtak,HARYANA
124113,Rohtak,Rohtak,HARYANA
124141,Rohtak,Rohtak,HARYANA
124142,Jhajjar,Jhajjar,HARYANA
124146,Jhajjar,Jhajjar,HARYANA
124201,Jhajjar,Jhajjar,HARYANA
124202,Jhajjar,Jhajjar,HARYANA
124303,Rohtak,Rohtak,HARYANA
124401,Rohtak,Rohtak,HARYANA
124404,Bahadurgarh,Jhajjar,HARYANA
124406,Rohtak,Rohtak,HARYANA
124411,Rohtak,Rohtak,HARYANA
124412,Rohtak,Rohtak,HARYANA
124501,Rohtak,Rohtak,HARYANA
124504,Bahadurgarh,Jhajjar,HARYANA
124505,Bahadurgarh,Jhajjar,HARYANA
124506,Bahadurgarh,Jhajjar,HARYANA
124507,Bahadurgarh,Jhajjar,HARYANA
 Bahadurgarh  S.O,Haryana,Bahadurgarh,Jhajjar
124513,Mehem,Rohtak,HARYANA
124514,Mehem,Rohtak,HARYANA
125001,Hisar,Hisar,HARYANA
hisar S.O,Haryana,Hisar,Hisar
125004,Hisar,Hisar,HARYANA
125005,Hisar,Hisar,HARYANA
125006,Hisar,Hisar,HARYANA
125007,Hisar,Hisar,HARYANA
125011,Hisar,Hisar,HARYANA
125033,Hansi,Hisar,HARYANA
125037,Hisar,Hisar,HARYANA
125038,Hansi,Hisar,HARYANA
125039,Hansi,Hisar,HARYANA
125042,Hansi,Hisar,HARYANA
125044,Hisar,Hisar,HARYANA
125047,Hisar,Hisar,HARYANA
125048,Fatehabad,Fatehabad,HARYANA
125049,Hansi,Hisar,HARYANA
125050,Fatehabad,Fatehabad,HARYANA
125051,Rattia,Fatehabad,HARYANA
125052,Hisar,Fatehabad,HARYANA
125053,Fatehabad,Fatehabad,HARYANA
125054,Sirsa,Sirsa,HARYANA
125055,Sirsa,Sirsa,HARYANA
125058,Sirsa,Sirsa,HARYANA
125060,Sirsa,Sirsa,HARYANA
125075,Sirsa,Sirsa,HARYANA
125076,Rania,Sirsa,HARYANA
125077,Odhan,Sirsa,HARYANA
125078,Baragudha,Sirsa,HARYANA
125101,Sirsa,Sirsa,HARYANA
125102,Sirsa,Sirsa,HARYANA
125103,Sirsa,Sirsa,HARYANA
125104,Mandi Dabwali,Sirsa,HARYANA
125106,Tohana,Fatehabad,HARYANA
125110,Sirsa,Sirsa,HARYANA
125111,Fatehabad,Fatehabad,HARYANA
125112,Hisar,Hisar,HARYANA
125113,Hisar,Fatehabad,HARYANA
125120,Tohana,Fatehabad,HARYANA
125121,Hisar,Hisar,HARYANA
125133,Tohana,Fatehabad,HARYANA
125201,Kalanwali,Sirsa,HARYANA
126101,Jind,Jind,HARYANA
126102,Jind,Jind,HARYANA
126110,Jind,Jind,HARYANA
126111,Jind,Jind,HARYANA
126112,Safidon,Jind,HARYANA
126113,Safidon,Jind,HARYANA
126114,Safidon,Jind,HARYANA
126115,Narwana,Jind,HARYANA
126116,Narwana,Jind,HARYANA
126125,Jind,Jind,HARYANA
126152,Jind,Jind,HARYANA
127021,Bhiwani,Bhiwani,HARYANA
127022,Dadari,Bhiwani,HARYANA
127025,Dadri,Bhiwani,HARYANA
127026,Dadri,Bhiwani,HARYANA
127027,Bhiwani,Bhiwani,HARYANA
127028,Siwani,Bhiwani,HARYANA
127029,Bhiwani,Bhiwani,HARYANA
127030,Biwani,Bhiwani,HARYANA
127031,Bhiwani,Bhiwani,HARYANA
127032,Bhiwani,Bhiwani,HARYANA
127035,Bhiwani,Bhiwani,HARYANA
127040,Bhiwani,Bhiwani,HARYANA
127041,Bhiwani,Bhiwani,HARYANA
127042,Charkhi Dadri,Bhiwani,HARYANA
127043,Bhiwani,Bhiwani,HARYANA
127045,Siwani,Bhiwani,HARYANA
127046,Siwani,Bhiwani,HARYANA
127111,Bhiwani,Bhiwani,HARYANA
127114,Bhiwani,Bhiwani,HARYANA
127201,Loharu,Bhiwani,HARYANA
127306,Dadri,Bhiwani,HARYANA
127307,Achina,Bhiwani,HARYANA
127308,Dadri,Bhiwani,HARYANA
127309,Bhiwani,Bhiwani,HARYANA
127310,Dadri,Bhiwani,HARYANA
131001,Sonipat,Sonipat,HARYANA
 Sonipat S.O,Haryana,Sonipat,Sonipat
131021,Sonipat,Sonipat,HARYANA
131022,Sonipat,Sonipat,HARYANA
131023,Sonipat,Sonipat,HARYANA
131024,Sonipat,Sonipat,HARYANA
131027,Sonipat,Sonipat,HARYANA
131028,Sonipat,Sonipat,HARYANA
131029,Sonipat,Sonipat,HARYANA
131039,Sonipat,Sonipat,HARYANA
131101,Ganaur,Sonipat,HARYANA
131102,Sonipat,Sonipat,HARYANA
131103,Sonipat,Sonipat,HARYANA
131301,Gohana,Sonipat,HARYANA
131302,Gohana,Sonipat,HARYANA
131304,Sonipat,Sonipat,HARYANA
131305,Gohana,Sonipat,HARYANA
131306,Sonipat,Sonipat,HARYANA
131402,Kharkhoda,Sonipat,HARYANA
131403,Sonipat,Sonipat,HARYANA
131408,Sonipat,Sonipat,HARYANA
131409,Sonipat,Sonipat,HARYANA
132001,Karnal,Karnal,HARYANA
132022,Kunjpura,Karnal,HARYANA
132023,S.s. Kunjpura,Karnal,HARYANA
132024,Nissing,Karnal,HARYANA
132036,Jundla,Karnal,HARYANA
132037,Karnal,Karnal,HARYANA
132039,Assandh,Karnal,HARYANA
132040,Assandh,Karnal,HARYANA
132041,Indri,Karnal,HARYANA
132046,Assandh,Karnal,HARYANA
132054,Indri,Karnal,HARYANA
132101,Panipat,Panipat,HARYANA
132102,Panipat,Panipat,HARYANA
132103,Panipat,Panipat,HARYANA
132104,Panipat,Panipat,HARYANA
132105,Panipat,Panipat,HARYANA
132106,Panipat,Panipat,HARYANA
132107,Panipat,Panipat,HARYANA
132108,Panipat,Panipat,HARYANA
132113,Panipat,Panipat,HARYANA
132114,Gharunda,Karnal,HARYANA
132115,Panipat,Panipat,HARYANA
132116,Nilokheri,Karnal,HARYANA
132117,Nilokheri,Karnal,HARYANA
132122,Panipat,Panipat,HARYANA
132140,Panipat,Panipat,HARYANA
132145,Panipat,Panipat,HARYANA
132157,Nigdhu,Karnal,HARYANA
133001,Ambala,Ambala,HARYANA
133004,Ambala,Ambala,HARYANA
133005,Ambala,Ambala,HARYANA
133006,Ambala,Ambala,HARYANA
133101,Ambala,Ambala,HARYANA
133102,Ambala,Ambala,HARYANA
133103,Ambala,Yamuna Nagar,HARYANA
133104,Ambala,Ambala,HARYANA
133201,Ambala,Ambala,HARYANA
133202,Barara,Ambala,HARYANA
133203,Barara,Ambala,HARYANA
133204,Ambala,Yamuna Nagar,HARYANA
133205,Barara,Ambala,HARYANA
133206,Ambala,Yamuna Nagar,HARYANA
133207,Barara,Ambala,HARYANA
133301,Kalka,Panchkula,HARYANA
133302,Kalka,Panchkula,HARYANA
134003,Ambala,Ambala,HARYANA
134005,Ambala city,Ambala,HARYANA
134007,Ambala,Ambala,HARYANA
134101,Kalka,Panchkula,HARYANA
134102,Panchkula,Panchkula,HARYANA
134103,Panchkula,Panchkula,HARYANA
134104,Kalka,Panchkula,HARYANA
134107,Panchkula,Panchkula,HARYANA
134108,Panchkula,Panchkula,HARYANA
134109,Panchkula,Panchkula,HARYANA
134112,Panchkula,Panchkula,HARYANA
134113,Panchkula,Panchkula,HARYANA
134114,Panchkula,Panchkula,HARYANA
134116,Panchkula,Panchkula,HARYANA
134117,Panchkula,Panchkula,HARYANA
134118,Ambala City Ho,Panchkula,HARYANA
134201,Naraingarh,Ambala,HARYANA
134202,Panchkula,Panchkula,HARYANA
134203,Panchkula,Ambala,HARYANA
134204,Panchkula,Panchkula,HARYANA
134205,Panchkula,Panchkula,HARYANA
135001,Ambala,Yamuna Nagar,HARYANA
135002,Ambala,Yamuna Nagar,HARYANA
135003,Ambala,Yamuna Nagar,HARYANA
135004,Yamuna Nagar,Yamuna Nagar,HARYANA
135021,Ambala,Yamuna Nagar,HARYANA
135101,Ambala,Yamuna Nagar,HARYANA
135102,Jagadhri,Yamuna Nagar,HARYANA
135103,Ambala,Yamuna Nagar,HARYANA
135106,Yamuna Nagar,Yamuna Nagar,HARYANA
135133,Ambala,Yamuna Nagar,HARYANA
136020,Pundri,Kaithal,HARYANA
136021,Pundri,Kaithal,HARYANA
136026,Pundri,Kaithal,HARYANA
136027,Kaithal,Kaithal,HARYANA
136030,Pehowa,Kurukshetra,HARYANA
136033,Kaithal,Kaithal,HARYANA
136034,Guhla,Kaithal,HARYANA
136035,Guhla,Kaithal,HARYANA
136038,Thanesar,Kurukshetra,HARYANA
136042,Pundri,Kaithal,HARYANA
136043,Pundri,Kaithal,HARYANA
136044,Rajaund,Kaithal,HARYANA
136117,Kalayat,Kaithal,HARYANA
136118,Thanesar,Kurukshetra,HARYANA
136119,Thanesar,Kurukshetra,HARYANA
136128,Pehowa,Kurukshetra,HARYANA
136129,Pehowa,Kurukshetra,HARYANA
136130,Shahbad,Kurukshetra,HARYANA
136131,Thanesar,Kurukshetra,HARYANA
136132,Ladwa,Kurukshetra,HARYANA
136135,Shahbad,Kurukshetra,HARYANA
136136,Shahbad,Kurukshetra,HARYANA
136156,Babain,Kurukshetra,HARYANA
140001,Rupnagar,Rupnagar,PUNJAB
140101,Rupnagar,Rupnagar,PUNJAB
140102,Ropar,Ropar,PUNJAB
140103,Rupnagar,Rupnagar,PUNJAB
140108,Rupnagar,Rupnagar,PUNJAB
140109,Khizrabad West,Mohali,PUNJAB
140110,Ropar,Mohali,PUNJAB
140111,Bela,Rupnagar,PUNJAB
140112,Ropar,Mohali,PUNJAB
140113,Rupnagar,Rupnagar,PUNJAB
140114,Rupnagar,Rupnagar,PUNJAB
140115,Kiratpur Sahib,Ropar,PUNJAB
140116,Anandpur Sahib,Rupnagar,PUNJAB
140117,Anandpur Sahib,Rupnagar,PUNJAB
140118,Ropar,Ropar,PUNJAB
140119,Ropar,Chandigarh,CHANDIGARH
140123,Anandpur Sahib,Rupnagar,PUNJAB
140124,Anandpur Sahib,Rupnagar,PUNJAB
140125,Ropar,Chandigarh,CHANDIGARH
140126,Ropar,Ropar,PUNJAB
140133,Bhanupali,Ropar,PUNJAB
140201,Derabassi,Patiala,PUNJAB
140301,Ropar,Rupnagar,PUNJAB
140306,S.A.S.Nagar (Mohali),Rupnagar,PUNJAB
140307,S.A.S.Nagar (Mohali),Rupnagar,PUNJAB
140308,Ropar,Rupnagar,PUNJAB
140401,Rajpura,Patiala,PUNJAB
140405,Rajpura,Fatehgarh Sahib,PUNJAB
140406,Sirhind,Fatehgarh Sahib,PUNJAB
140407,Fatehgarh Sahib,Fatehgarh Sahib,PUNJAB
140412,Bassi,Fatehgarh Sahib,PUNJAB
140413,Ropar,Mohali,PUNJAB
140417,Rajpura,Patiala,PUNJAB
140501,Derabassi,Mohali,PUNJAB
140506,Derabassi,Mohali,PUNJAB
140507,Derabassi,Mohali,PUNJAB
140601,Rajpura,Patiala,PUNJAB
140602,Derabassi,Patiala,PUNJAB
140603,Rajpura,Patiala,PUNJAB
140604,Derabassi,Mohali,PUNJAB
140701,Rajpura,Patiala,PUNJAB
140702,Patiala,Patiala,PUNJAB
140802,Payal,Fatehgarh Sahib,PUNJAB
140901,Ropar,Mohali,PUNJAB
141001,Ludhiana,Ludhiana,PUNJAB
141002,Ludhiana,Ludhiana,PUNJAB
141003,Ludhiana,Ludhiana,PUNJAB
141004,Ludhiana,Ludhiana,PUNJAB
141006,Ludhiana,Ludhiana,PUNJAB
141007,Ludhiana,Ludhiana,PUNJAB
141008,Ludhiana,Ludhiana,PUNJAB
141010,Ludhiana,Ludhiana,PUNJAB
141012,Ludhiana,Ludhiana,PUNJAB
141013,Ludhiana,Ludhiana,PUNJAB
141014,Ludhiana,Ludhiana,PUNJAB
141015,Ludhiana,Ludhiana,PUNJAB
141016,Ludhiana,Ludhiana,PUNJAB
141017,Ludhiana,Ludhiana,PUNJAB
141101,Ludhiana (West),Ludhiana,PUNJAB
141102,Ludhiana,Ludhiana,PUNJAB
141103,Khanna,Ludhiana,PUNJAB
141104,Ludhiana,Ludhiana,PUNJAB
141105,Raikot,Ludhiana,PUNJAB
141106,Ludhiana (East),Ludhiana,PUNJAB
141107,Ludhiana,Ludhiana,PUNJAB
141108,Ludhiana,Ludhiana,PUNJAB
141109,Ludhiana,Ludhiana,PUNJAB
141110,Ludhiana,Ludhiana,PUNJAB
141112,Ludhiana,Ludhiana,PUNJAB
141113,Ludhiana,Ludhiana,PUNJAB
141114,Ludhiana,Ludhiana,PUNJAB
141115,Ludhiana,Ludhiana,PUNJAB
141116,Ludhiana,Ludhiana,PUNJAB
141117,Payal,Ludhiana,PUNJAB
141118,Ludhiana,Ludhiana,PUNJAB
141119,Ludhiana,Ludhiana,PUNJAB
141120,Ludhiana,Ludhiana,PUNJAB
141121,Ludhiana,Ludhiana,PUNJAB
141122,Ludhiana,Ludhiana,PUNJAB
141123,Ludhiana (East),Ludhiana,PUNJAB
141124,Ludhiana,Ludhiana,PUNJAB
141125,Ludhiana,Ludhiana,PUNJAB
141126,Ludhiana (East),Ludhiana,PUNJAB
141201,Ludhiana,Ludhiana,PUNJAB
141202,Ludhiana,Ludhiana,PUNJAB
141203,Ludhiana (East),Ludhiana,PUNJAB
141204,Ludhiana,Ludhiana,PUNJAB
141205,Ludhiana,Ludhiana,PUNJAB
141206,Ludhiana (East),Ludhiana,PUNJAB
141401,Khanna,Ludhiana,PUNJAB
141411,Khamanoo,Patiala,PUNJAB
141412,Ludhiana,Ludhiana,PUNJAB
141413,Ludhiana,Ludhiana,PUNJAB
141414,Ludhiana,Ludhiana,PUNJAB
141415,Ludhiana,Ludhiana,PUNJAB
141416,Ludhiana,Ludhiana,PUNJAB
141417,Ludhiana,Ludhiana,PUNJAB
141418,Ludhiana,Ludhiana,PUNJAB
141419,Ludhiana,Ludhiana,PUNJAB
141421,Khamanon,Fatehgarh Sahib,PUNJAB
141422,Jagraon,Ludhiana,PUNJAB
141801,Khamanon,Fatehgarh Sahib,PUNJAB
142001,Moga,Moga,PUNJAB
142011,Moga,Moga,PUNJAB
142021,Ludhiana,Ludhiana,PUNJAB
142022,Ludhiana,Ludhiana,PUNJAB
142023,Ludhiana,Ludhiana,PUNJAB
142024,Ludhiana,Ludhiana,PUNJAB
142025,Ludhiana,Ludhiana,PUNJAB
142026,Jagraon,Ludhiana,PUNJAB
142027,Ludhiana (West),Ludhiana,PUNJAB
142029,Ludhiana,Ludhiana,PUNJAB
142030,Ludhiana,Ludhiana,PUNJAB
142031,Ludhiana,Ludhiana,PUNJAB
142032,Ludhiana,Ludhiana,PUNJAB
142033,Ludhiana,Ludhiana,PUNJAB
142034,Ludhiana,Ludhiana,PUNJAB
142035,Ludhiana,Ludhiana,PUNJAB
142036,Ludhiana,Ludhiana,PUNJAB
142037,Nihal Singh Wala,Moga,PUNJAB
142038,Bhagha Purana,Moga,PUNJAB
142039,Nihal Singhwala,Moga,PUNJAB
142040,Nihal Singh Wala,Moga,PUNJAB
142041,Moga,Firozpur,PUNJAB
142042,Dharamkot,Moga,PUNJAB
142043,Moga,Moga,PUNJAB
142044,Zira,Firozpur,PUNJAB
142045,Baghapurana,Moga,PUNJAB
142046,Nihal Singh Wala,Moga,PUNJAB
142047,Zira,Firozpur,PUNJAB
142048,Moga,Moga,PUNJAB
142049,Bhagha Purana,Moga,PUNJAB
142050,Zira,Firozpur,PUNJAB
142052,Firozepur,Firozpur,PUNJAB
142053,Moga,Moga,PUNJAB
142054,Moga,Moga,PUNJAB
142055,Nihal Singh Wala,Moga,PUNJAB
142056,Baghapurana,Moga,PUNJAB
142057,Baghapurana,Moga,PUNJAB
142058,Moga,Moga,PUNJAB
142060,Ferozpeur,Firozpur,PUNJAB
143001,Amritsar,Amritsar,PUNJAB
143002,Amritsar -I,Amritsar,PUNJAB
143003,Amritsar -I,Amritsar,PUNJAB
143005,Amritsar -I,Amritsar,PUNJAB
143006,Amritsar -I,Amritsar,PUNJAB
143008,Amritsar -I,Amritsar,PUNJAB
143009,Amritsar -I,Amritsar,PUNJAB
143022,Kot Mit Singh,Amritsar,PUNJAB
143101,Raja Sansi,Amritsar,PUNJAB
143102,Ajnala,Amritsar,PUNJAB
143103,Amritsar,Amritsar,PUNJAB
143104,Amritsar -I,Amritsar,PUNJAB
143105,Amritsar -I,Amritsar,PUNJAB
143107,Amritsar- II,Amritsar,PUNJAB
143108,Amritsar- II,Amritsar,PUNJAB
143109,Chogawan,Amritsar,PUNJAB
143110,Preet Nagar,Amritsar,PUNJAB
143111,Khilchian,Amritsar,PUNJAB
143112,Rayya,Amritsar,PUNJAB
143113,Amritsar,Amritsar,PUNJAB
143114,TARN-TARAN,Tarn Taran,PUNJAB
143115,Jandiala,Amritsar,PUNJAB
143116,Amritsar,Amritsar,PUNJAB
143117,Amritsar,Amritsar,PUNJAB
143118,TARN-TARAN,Tarn Taran,PUNJAB
143119,Baba Bakala,Amritsar,PUNJAB
143149,Amritsar,Amritsar,PUNJAB
143201,Baba Bakala,Amritsar,PUNJAB
143202,Baba Bakala,Amritsar,PUNJAB
143203,Baba Bakala,Amritsar,PUNJAB
143204,Amritsar,Amritsar,PUNJAB
143205,Sathiala,Amritsar,PUNJAB
143301,TARN-TARAN,Tarn Taran,PUNJAB
143302,TARN-TARAN,Tarn Taran,PUNJAB
143303,TARN-TARAN,Tarn Taran,PUNJAB
143304,Patti,Tarn Taran,PUNJAB
143305,Khalra,Amritsar,PUNJAB
143401,TARN-TARAN,Tarn Taran,PUNJAB
143406,Kang,Tarn Taran,PUNJAB
143407,Amritsar -I,Amritsar,PUNJAB
143408,Amritsar,Tarn Taran,PUNJAB
143409,Nausher Panvan,Amritsar,PUNJAB
143410,Sarhali,Amritsar,PUNJAB
143411,Dhotian,Amritsar,PUNJAB
143412,Harike,Tarn Taran,PUNJAB
143413,Bundala,Amritsar,PUNJAB
143414,S.a. Khan,Amritsar,PUNJAB
143415,Kairon,Tarn Taran,PUNJAB
143416,Patti,Tarn Taran,PUNJAB
143419,Khem Karan,Tarn Taran,PUNJAB
143422,TARN-TARAN,Tarn Taran,PUNJAB
143501,Verka,Amritsar,PUNJAB
143502,Kathunangal,Amritsar,PUNJAB
143504,Amritsar,Amritsar,PUNJAB
143505,Batala,Gurdaspur,PUNJAB
143506,Batala,Gurdaspur,PUNJAB
143507,Batala,Gurdaspur,PUNJAB
143511,Batala,Gurdaspur,PUNJAB
143512,Batala,Gurdaspur,PUNJAB
143513,Batala,Gurdaspur,PUNJAB
143514,Batala,Gurdaspur,PUNJAB
143515,Batala,Gurdaspur,PUNJAB
143516,Gurdaspur,Gurdaspur,PUNJAB
143517,Gurdaspur,Gurdaspur,PUNJAB
143518,Gurdaspur,Gurdaspur,PUNJAB
143519,Gurdaspur,Gurdaspur,PUNJAB
143520,Gurdaspur,Gurdaspur,PUNJAB
143521,Gurdaspur,Gurdaspur,PUNJAB
143525,Gurdaspur,Gurdaspur,PUNJAB
143526,Gurdaspur,Gurdaspur,PUNJAB
143527,Batala,Gurdaspur,PUNJAB
143528,Gurdaspur,Gurdaspur,PUNJAB
143529,Gurdaspur,Gurdaspur,PUNJAB
143530,Gurdaspur,Gurdaspur,PUNJAB
143531,Gurdaspur,Gurdaspur,PUNJAB
143532,Gurdaspur,Gurdaspur,PUNJAB
143533,Gurdaspur,Gurdaspur,PUNJAB
143534,Gurdaspur,Gurdaspur,PUNJAB
143601,Amritsar- II,Amritsar,PUNJAB
143602,Dera Baba Nanak,Gurdaspur,PUNJAB
143603,Ajnala,Amritsar,PUNJAB
143604,Dera Baba Nanak,Gurdaspur,PUNJAB
143605,Batala,Gurdaspur,PUNJAB
143606,Ajnala,Amritsar,PUNJAB
144001,Jalandhar - I,Jalandhar,PUNJAB
144002,Jalandhar -II,Jalandhar,PUNJAB
144003,Jalandhar - I,Jalandhar,PUNJAB
144004,Jalandhar - I,Jalandhar,PUNJAB
144005,Jalandhar,Jalandhar,PUNJAB
144006,Jalandhar -II,Jalandhar,PUNJAB
144007,Jalandhar -II,Jalandhar,PUNJAB
144008,Jalandhar - I,Jalandhar,PUNJAB
144009,Jalandhar - I,Jalandhar,PUNJAB
144010,Phillaur,Jalandhar,PUNJAB
144011,Jalandhar -II,Jalandhar,PUNJAB
